答卷编号,IP地址,开始时间,浏览器,操作系统,答题时长,状态,Q1_您所在的年级,Q2_您的性别,Q3_您喜欢旅游吗？,Q4_您出游的动机通常是：（多选）_舒缓压力，调节心情,Q4_您出游的动机通常是：（多选）_学校、社团或班级组织的活动,Q4_您出游的动机通常是：（多选）_开阔视野，增长见识,Q4_您出游的动机通常是：（多选）_单纯出去游玩,Q4_您出游的动机通常是：（多选）_其他,Q5_出游前您通常通过哪些渠道了解相关信息（多选）_到旅行社咨询,Q5_出游前您通常通过哪些渠道了解相关信息（多选）_上旅游网查询,Q5_出游前您通常通过哪些渠道了解相关信息（多选）_亲朋好友介绍,Q5_出游前您通常通过哪些渠道了解相关信息（多选）_校园海报广告等宣传,Q5_出游前您通常通过哪些渠道了解相关信息（多选）_其他,Q6_您喜欢的出游方式_在旅行社报团,Q6_您喜欢的出游方式_与亲友自助游,Q6_您喜欢的出游方式_独自出游,Q6_您喜欢的出游方式_与同学好友结伴,Q6_您喜欢的出游方式_其他,Q7_您出游的范围一般是（多选）_学校附近,Q7_您出游的范围一般是（多选）_您所在的市区内,Q7_您出游的范围一般是（多选）_您所在的省区内,Q7_您出游的范围一般是（多选）_出省游,Q7_您出游的范围一般是（多选）_其他,Q8_您通常出游的时间是（多选）_寒暑假,Q8_您通常出游的时间是（多选）_黄金周,Q8_您通常出游的时间是（多选）_周末,Q8_您通常出游的时间是（多选）_空余时间,Q8_您通常出游的时间是（多选）_其他,Q9_您出游时关注的服务要素有：（多选）_住宿,Q9_您出游时关注的服务要素有：（多选）_餐饮,Q9_您出游时关注的服务要素有：（多选）_娱乐,Q9_您出游时关注的服务要素有：（多选）_景区,Q9_您出游时关注的服务要素有：（多选）_交通,Q9_您出游时关注的服务要素有：（多选）_文化,Q9_您出游时关注的服务要素有：（多选）_其他,Q10_您旅游时会选择的住宿类型（多选）_星级宾馆酒店,Q10_您旅游时会选择的住宿类型（多选）_经济型连锁酒店,Q10_您旅游时会选择的住宿类型（多选）_普通招待所,Q10_您旅游时会选择的住宿类型（多选）_青年旅舍,Q10_您旅游时会选择的住宿类型（多选）_民宿,Q10_您旅游时会选择的住宿类型（多选）_其他,Q11_您每年用于旅游的花费大概是多少,Q12_制约您出游的主要因素有（多选）_经济因素,Q12_制约您出游的主要因素有（多选）_交通因素,Q12_制约您出游的主要因素有（多选）_饮食住宿问题,Q12_制约您出游的主要因素有（多选）_身体健康因素,Q12_制约您出游的主要因素有（多选）_时间因素,Q12_制约您出游的主要因素有（多选）_天气因素,Q12_制约您出游的主要因素有（多选）_其他,Q13_在您了解旅游目的地时遇到的问题是（多选）_路线表达不清楚,Q13_在您了解旅游目的地时遇到的问题是（多选）_特色介绍不明确,Q13_在您了解旅游目的地时遇到的问题是（多选）_住宿、饮食介绍不全面,Q13_在您了解旅游目的地时遇到的问题是（多选）_超过费用预算,Q13_在您了解旅游目的地时遇到的问题是（多选）_其他,Q14_您对网络上预订旅游房间、门票等相关服务的看法,Q15_如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）_携程网,Q15_如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）_大众点评,Q15_如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）_去哪儿网,Q15_如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）_艺龙网,Q15_如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）_同城网,Q15_如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）_其他,Q16_您对旅游网站的一些想法和建议？
1,42.91.168.195,2019/5/10 12:19,Unknown Browser,iPhone iOS 12.1.4,1分27秒,正常完成,大三,女,非常喜欢,舒缓压力，调节心情,,开阔视野，增长见识,单纯出去游玩,,,上旅游网查询,,,,,与亲友自助游,独自出游,与同学好友结伴,,,,,出省游,,寒暑假,,,空余时间,,住宿,,娱乐,景区,,,,,,,,民宿,,500-1000元,经济因素,,,,时间因素,,,路线表达不清楚,,,,,经常预订，感觉非常方便,携程网,,,,,,价格实惠
2,42.91.173.155,2019/5/10 12:26,Chrome 66.0.3359.126,Android Linux 7.1.2,3分22秒,正常完成,大三,女,非常喜欢,舒缓压力，调节心情,,,,,,上旅游网查询,,,,,,,与同学好友结伴,,,,,出省游,,寒暑假,,,空余时间,,住宿,餐饮,娱乐,景区,交通,文化,,,,,,民宿,,500-1000元,经济因素,,,,时间因素,,,路线表达不清楚,特色介绍不明确,住宿、饮食介绍不全面,,,和旅行社价格比较，实惠的话，会考虑预订,携程网,大众点评,去哪儿网,,,,多发一点景区的介绍
3,42.90.77.179,2019/5/10 12:28,Unknown Browser,iPhone iOS 12.1.4,1分42秒,正常完成,大三,女,一般,舒缓压力，调节心情,,,,,,上旅游网查询,,,,,,,与同学好友结伴,,,,,出省游,,寒暑假,,,,,住宿,餐饮,,,交通,,,,,,青年旅舍,民宿,,500-1000元,经济因素,,,,时间因素,,,路线表达不清楚,,,超过费用预算,,和旅行社价格比较，实惠的话，会考虑预订,携程网,,,,,,希望功能齐全
4,49.119.236.109,2019/5/10 12:32,Chrome 66.0.3359.126,Android Linux 8.0.0,2分19秒,正常完成,大三,女,一般,,,,单纯出去游玩,,,上旅游网查询,,校园海报广告等宣传,,,,独自出游,与同学好友结伴,,,,您所在的省区内,,,,,,空余时间,,住宿,餐饮,,,,,,星级宾馆酒店,经济型连锁酒店,普通招待所,青年旅舍,民宿,,1000-3000元,经济因素,,,,时间因素,,,,特色介绍不明确,住宿、饮食介绍不全面,超过费用预算,,和旅行社价格比较，实惠的话，会考虑预订,携程网,,,艺龙网,,,无
5,180.95.132.11,2019/5/10 12:34,Chrome 66.0.3359.126,Android Linux 8.1.0,0分30秒,正常完成,大三,女,非常喜欢,舒缓压力，调节心情,学校、社团或班级组织的活动,开阔视野，增长见识,单纯出去游玩,,到旅行社咨询,,,,,在旅行社报团,,,,,学校附近,,,,,寒暑假,,,,,,,,景区,,,,,,普通招待所,,,,3000元以上,,交通因素,,,,,,路线表达不清楚,,,,,经常预订，感觉非常方便,,,,,同城网,,没有
6,27.224.91.179,2019/5/10 12:30,Unknown Browser,iPhone iOS 12.2,5分40秒,正常完成,大三,男,非常喜欢,舒缓压力，调节心情,,开阔视野，增长见识,,,,上旅游网查询,亲朋好友介绍,,,,,独自出游,与同学好友结伴,,学校附近,您所在的市区内,您所在的省区内,出省游,,寒暑假,黄金周,周末,空余时间,,住宿,餐饮,娱乐,景区,交通,文化,,星级宾馆酒店,经济型连锁酒店,,,民宿,,1000-3000元,经济因素,交通因素,饮食住宿问题,身体健康因素,时间因素,天气因素,,,,住宿、饮食介绍不全面,超过费用预算,,经常预订，感觉非常方便,携程网,,,,,,??????
7,223.104.27.10,2019/5/10 12:35,Chrome 66.0.3359.126,Android Linux 5.1,2分38秒,正常完成,大三,男,非常喜欢,舒缓压力，调节心情,,,单纯出去游玩,其他,,,,,其他,,,独自出游,,,,,,出省游,,寒暑假,黄金周,,空余时间,,住宿,餐饮,,,交通,文化,,,经济型连锁酒店,,青年旅舍,,,500-1000元,经济因素,,,,,,,路线表达不清楚,特色介绍不明确,住宿、饮食介绍不全面,超过费用预算,,网上看起来不靠谱,携程网,,去哪儿网,,,其他,希望能免费资助学生去旅游
8,124.152.254.68,2019/5/10 12:35,Chrome 66.0.3359.126,Android Linux 6.0,3分51秒,正常完成,大三,女,一般,舒缓压力，调节心情,,,单纯出去游玩,,,,亲朋好友介绍,,其他,,与亲友自助游,,与同学好友结伴,,学校附近,您所在的市区内,您所在的省区内,出省游,,寒暑假,,周末,空余时间,,住宿,,娱乐,景区,,文化,,,经济型连锁酒店,,,民宿,其他,500-1000元,经济因素,,,,时间因素,,,路线表达不清楚,特色介绍不明确,,,,经常预订，感觉非常方便,携程网,,,,,,少广告，多景区推荐
9,223.104.56.27,2019/5/10 12:43,Opera,Android Linux 8.0.0,1分59秒,正常完成,大三,男,一般,舒缓压力，调节心情,,,单纯出去游玩,其他,,上旅游网查询,,,其他,,与亲友自助游,独自出游,与同学好友结伴,,,,您所在的省区内,出省游,其他,寒暑假,,,空余时间,,住宿,餐饮,,景区,交通,,,,,,青年旅舍,,,500-1000元,经济因素,,,,,,其他,,,住宿、饮食介绍不全面,超过费用预算,,和旅行社价格比较，实惠的话，会考虑预订,携程网,,,,,,无
10,124.152.34.204,2019/5/10 12:42,Unknown Browser,iPhone iOS 12.1.4,3分22秒,正常完成,其他,女,非常喜欢,舒缓压力，调节心情,,,,,,,亲朋好友介绍,,,,与亲友自助游,,,,,,您所在的省区内,出省游,,寒暑假,,,空余时间,,,餐饮,娱乐,景区,交通,,,,经济型连锁酒店,,,,,3000元以上,,,饮食住宿问题,,时间因素,,,路线表达不清楚,,住宿、饮食介绍不全面,,,其他,,,去哪儿网,,,,介绍全面一点。
