Q1,您所在的年级,单选题
,本题选项:,
,1,大一
,2,大二
,3,大三
,4,大四
,5,其他
Q2,您的性别,单选题
,本题选项:,
,1,男
,2,女
Q3,您喜欢旅游吗？,单选题
,本题选项:,
,1,非常喜欢
,2,一般
,3,不喜欢
Q4,您出游的动机通常是：（多选）,多选题
,本题选项:,
,1,舒缓压力，调节心情
,2,学校、社团或班级组织的活动
,3,开阔视野，增长见识
,4,单纯出去游玩
,5,其他
Q5,出游前您通常通过哪些渠道了解相关信息（多选）,多选题
,本题选项:,
,1,到旅行社咨询
,2,上旅游网查询
,3,亲朋好友介绍
,4,校园海报广告等宣传
,5,其他
Q6,您喜欢的出游方式,多选题
,本题选项:,
,1,在旅行社报团
,2,与亲友自助游
,4,独自出游
,5,与同学好友结伴
,6,其他
Q7,您出游的范围一般是（多选）,多选题
,本题选项:,
,1,学校附近
,2,您所在的市区内
,3,您所在的省区内
,4,出省游
,5,其他
Q8,您通常出游的时间是（多选）,多选题
,本题选项:,
,1,寒暑假
,2,黄金周
,3,周末
,4,空余时间
,5,其他
Q9,您出游时关注的服务要素有：（多选）,多选题
,本题选项:,
,1,住宿
,2,餐饮
,3,娱乐
,4,景区
,5,交通
,6,文化
,7,其他
Q10,您旅游时会选择的住宿类型（多选）,多选题
,本题选项:,
,1,星级宾馆酒店
,2,经济型连锁酒店
,3,普通招待所
,4,青年旅舍
,5,民宿
,6,其他
Q11,您每年用于旅游的花费大概是多少,单选题
,本题选项:,
,1,500元以下
,2,500-1000元
,3,1000-3000元
,5,3000元以上
Q12,制约您出游的主要因素有（多选）,多选题
,本题选项:,
,1,经济因素
,2,交通因素
,3,饮食住宿问题
,4,身体健康因素
,6,时间因素
,7,天气因素
,8,其他
Q13,在您了解旅游目的地时遇到的问题是（多选）,多选题
,本题选项:,
,1,路线表达不清楚
,2,特色介绍不明确
,3,住宿、饮食介绍不全面
,4,超过费用预算
,5,其他
Q14,您对网络上预订旅游房间、门票等相关服务的看法,单选题
,本题选项:,
,1,经常预订，感觉非常方便
,2,和旅行社价格比较，实惠的话，会考虑预订
,3,网上看起来不靠谱
,4,其他
Q15,如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）,多选题
,本题选项:,
,1,携程网
,2,大众点评
,3,去哪儿网
,5,艺龙网
,6,同城网
,8,其他
Q16,您对旅游网站的一些想法和建议？,填空题
,本题选项:,
,1,选项1
